Track,Artist,Album,Popularity,Spotify URL,Album Image
Loveeeeeee Song,Rihanna,Unapologetic (Deluxe),78,https://open.spotify.com/track/5Mk1tgVrSuoWWwPVFNS0jB,https://i.scdn.co/image/ab67616d0000b2736dee21d6cd1823e4d6231d37
Come Back to Earth,Mac Miller,Swimming,80,https://open.spotify.com/track/01z2fBGB8Hl3Jd3zXe4IXR,https://i.scdn.co/image/ab67616d0000b273175c577a61aa13d4fb4b6534
Hurt Feelings,Mac Miller,Swimming,68,https://open.spotify.com/track/5p7GiBZNL1afJJDUrOA6C8,https://i.scdn.co/image/ab67616d0000b273175c577a61aa13d4fb4b6534
2009,Mac Miller,Swimming,67,https://open.spotify.com/track/6dFn6my1sHK2bcf23GlHwM,https://i.scdn.co/image/ab67616d0000b273175c577a61aa13d4fb4b6534
bigger thën everything,Yeat,bigger thën everything,58,https://open.spotify.com/track/11B7WTuoInwUvuP1BnnGWW,https://i.scdn.co/image/ab67616d0000b273c1e206f60c3eda32be41c043
We Go Home Together,Mount Kimbie,Love What Survives,31,https://open.spotify.com/track/2twiyuojmTQUrJEO46Xcjh,https://i.scdn.co/image/ab67616d0000b2731653c718ebd546193890f09f
Stay Tru,Mereba,The Jungle Is The Only Way Out,53,https://open.spotify.com/track/40ZUYrNTx4WAWN39VkrCOW,https://i.scdn.co/image/ab67616d0000b273bb2dcdded318b31909aef025
The Lady In Red,Chris de Burgh,Into The Light (Reissue),76,https://open.spotify.com/track/5Hcl1reJnHIfJBbCcglaKR,https://i.scdn.co/image/ab67616d0000b273dbcf079d622c02f298dca4e7
Be That Easy,Sade,Soldier of Love,76,https://open.spotify.com/track/5KADKKJqxxF2d0a9Ir2lK3,https://i.scdn.co/image/ab67616d0000b27398da02db8bb9253c3367e41a
Perfecto,Mac Miller,Swimming,61,https://open.spotify.com/track/0Xcy81PsJCOO6mhLZaQyQ4,https://i.scdn.co/image/ab67616d0000b273175c577a61aa13d4fb4b6534
Dunno,Mac Miller,Swimming,67,https://open.spotify.com/track/3YnwIp2b99p3e5dsFTXIIx,https://i.scdn.co/image/ab67616d0000b273175c577a61aa13d4fb4b6534
Crazy World (Remastered 2012),Lucky Dube,House of Exile (Remastered 2012),55,https://open.spotify.com/track/59LedOB52MtQdnnwZBnW0I,https://i.scdn.co/image/ab67616d0000b2736be08182c77f496e7983fbe9
Belly,Pa Salieu,Afrikan Alien,45,https://open.spotify.com/track/7kgU2NMdgWnKMksqvgzPAb,https://i.scdn.co/image/ab67616d0000b273274aa695297fa9ed1a6e2796
Not You Too (feat. Chris Brown),Drake,Dark Lane Demo Tapes,85,https://open.spotify.com/track/3Q4gttWQ6hxqWOa3tHoTNi,https://i.scdn.co/image/ab67616d0000b273bba7cfaf7c59ff0898acba1f
Mad Riches,Sonder,Too Late To Die Young,67,https://open.spotify.com/track/0vA6Nhloi5UX2jmqX5Tvk9,https://i.scdn.co/image/ab67616d0000b27381f848a20c8e23a738c004f0
You Rock My World,Michael Jackson,Invincible,78,https://open.spotify.com/track/1Lhwn4PqeGpM4LTVUowW76,https://i.scdn.co/image/ab67616d0000b27376bfd700e0c47fae7f2c7b75
Self Care,Mac Miller,Swimming,75,https://open.spotify.com/track/5bJ1DrEM4hNCafcDd1oxHx,https://i.scdn.co/image/ab67616d0000b273175c577a61aa13d4fb4b6534
Cannonball (feat. Don Toliver),Lithe,Euphoria,77,https://open.spotify.com/track/7sEnjOJydpPeYjt2csODOj,https://i.scdn.co/image/ab67616d0000b2736e55e96ec8ad83f85d467469
Mona Ki Ngi Xica - Radio Edit,Bonga,Mona Ki Ngi Xica,39,https://open.spotify.com/track/19OTsoz5dDpQOpBERh4bWJ,https://i.scdn.co/image/ab67616d0000b2738e5c0066928eb80113e2d061
Last Memory,Takeoff,The Last Rocket,63,https://open.spotify.com/track/1fvCggAYrW0VtCljtqv4h2,https://i.scdn.co/image/ab67616d0000b273b809506b2a5d8fa7b9c2c926
